id,hospital_name,hospital_category,hospital_care_type,specialties,facilities,emergency_services,website,category_status,care_type_status,specialty_status,facility_status,emergency_status,website_status
6169777c-bd14-492a-84b8-a020c2696d4f,Asalatha Medicare Pvt Lt,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
4f80bc67-7ab9-4428-ae4a-7439fc67341b,Balaji Institute Of Surgery Research And Rehabilit,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
48295148-3dfc-48b4-a092-a12aa8ff4584,Balaji Orthopaedic And Trauma Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
c871629d-f698-4003-a6fa-0b0bbb02ca53,Bhaskar Allergy and Chest Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
fb261b71-29e1-4a40-b65b-e6c823f28d4e,Clinic Nisha,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
2bc96ad1-5e2d-4dc4-aa26-0ea2d9bfff85,Dbr And Sk Super Speciality Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
2a268ef7-dec7-4d7d-9cbf-af1a6b0f4e14,Eye Care Centre and Contact Lens Clinic,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
3c223c47-3145-468d-8bf1-81c082ad3159,Harshitha Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
f7a25da0-e245-4e6a-9060-01d6ffb88358,M S Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
6f2554c4-295d-4d7d-9493-c628e593a489,M.M Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
1904a32f-6a5d-4967-87d3-95905762f9f7,Manohari Nursing Home,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
e293f19d-e88b-4092-b931-77e195bf95a7,Meghana Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
0604b79f-2012-4ca3-a969-0ecdbd89a772,Navya Netralaya Eye Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
baff4d6d-9156-4004-8675-0324900c8cdc,Neelima Maternity Nursing Home,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
6541b10d-619a-40b5-9687-b0957de0cb50,Nirmala Hospitals,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
806cf656-6b8c-4f1c-9075-ffbdcea8b7f3,Om Children Surgical Superspeciality Centre,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
611e535f-b3f7-48aa-a389-c00245e269e9,Prameela Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
fbee2046-553d-4816-a242-25dc4b132a8a,Prashanth Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
14473ac8-877b-4d35-be21-57f3b1be233e,Raghavendra Urological Super Speciality Hospital (Russh Hospital),0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
e4fdc65a-179c-4800-8794-edb16bfca75a,Rama Nursing Home,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
c932712f-dc4c-48ff-94ab-ea4a593594fe,Ramya Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
cf86db2d-f310-44e2-a46c-f6b585698295,Ravi Neuro and Emergency Hospital - Chittoor,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
4ac8d7fe-8792-4bb3-aa35-bb8ef98f116e,Sakthi Medicals,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
80c72ee4-7cdb-4278-a589-89bf8f684e01,Shyamala Nursing Home,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
b51a465f-8c6b-4e0d-8c1f-b28cc4134daa,Sree Emergency and Crticial Care Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
26cecfe1-2c85-48c0-b78b-9f9daca118fa,Sri Chakra Hospitals,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
c7653942-3764-4992-a443-ba419985a16a,Sri Padmavathi Multi Speciality Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
9aaa11e8-8aee-494f-8d6d-0c092e190973,Sri Ramadevi Multi Super Speciality Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
4eb3fc6d-dff7-4591-9029-2e12c7fdc563,Sri Sai Sudha Hospitals,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
ac5bf8a7-1042-4d24-a1ba-a005cb1235b5,Sri Suraksha Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
4c6695c7-bd1d-451b-9f8d-50329b06cfe6,Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
a3be9111-8f58-42a6-9ed1-dc128f7010b7,Sri Venkateshwara Institute Of Medical Sciences,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
28f35b69-1670-48f6-aeb8-8c22132b2fdf,Sri Venkateswara Hospitals,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
e1ddf46d-9b26-4347-b825-d13135e44b19,Srinivasa Super Speciality Hospital,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
447675b7-a976-41f8-b5dc-467ad192af41,Suguna Nursing Home,0,0,0,0,0,,PLACEHOLDER_VALUE,PLACEHOLDER_VALUE,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,MISSING_VALUE
